instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr_group
22,2011-01-01,Spring,2011,Jan,21,No,Sat,Holiday,Mist,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3.0,31.0,34.0,Afternoon
23,2011-01-01,Spring,2011,Jan,22,No,Sat,Holiday,Mist,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11.0,17.0,28.0,Afternoon
24,2011-01-01,Spring,2011,Jan,23,No,Sat,Holiday,Mist,18.86,22.725,88.0,19.999499999999998,15.0,24.0,39.0,Afternoon
25,2011-01-02,Spring,2011,Jan,0,No,Sun,Holiday,Mist,18.86,22.725,88.0,19.999499999999998,4.0,13.0,17.0,Midnight
26,2011-01-02,Spring,2011,Jan,1,No,Sun,Holiday,Mist,18.04,21.97,94.0,16.997899999999998,1.0,16.0,17.0,Midnight
27,2011-01-02,Spring,2011,Jan,2,No,Sun,Holiday,Mist,17.22,21.21,100.0,19.0012,1.0,8.0,9.0,Midnight
28,2011-01-02,Spring,2011,Jan,3,No,Sun,Holiday,Mist,18.86,22.725,94.0,12.998000000000001,2.0,4.0,6.0,Midnight
29,2011-01-02,Spring,2011,Jan,4,No,Sun,Holiday,Mist,18.86,22.725,94.0,12.998000000000001,2.0,1.0,3.0,Midnight
30,2011-01-02,Spring,2011,Jan,6,No,Sun,Holiday,Light rain/snow,17.22,21.21,77.0,19.999499999999998,0.0,2.0,2.0,Morning
31,2011-01-02,Spring,2011,Jan,7,No,Sun,Holiday,Mist,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0.0,1.0,1.0,Morning
32,2011-01-02,Spring,2011,Jan,8,No,Sun,Holiday,Light rain/snow,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0.0,8.0,8.0,Morning
33,2011-01-02,Spring,2011,Jan,9,No,Sun,Holiday,Mist,15.58,19.695,76.0,15.001299999999999,1.0,19.0,20.0,Morning
34,2011-01-02,Spring,2011,Jan,10,No,Sun,Holiday,Mist,14.76,17.424999999999997,81.0,15.001299999999999,7.0,46.0,53.0,Morning
35,2011-01-02,Spring,2011,Jan,11,No,Sun,Holiday,Mist,14.76,16.665,71.0,16.997899999999998,16.0,54.0,70.0,Morning
36,2011-01-02,Spring,2011,Jan,12,No,Sun,Holiday,Mist,14.76,16.665,66.0,19.999499999999998,20.0,73.0,93.0,Noon
37,2011-01-02,Spring,2011,Jan,13,No,Sun,Holiday,Mist,14.76,17.424999999999997,66.0,8.9981,11.0,64.0,75.0,Noon
38,2011-01-02,Spring,2011,Jan,14,No,Sun,Holiday,Light rain/snow,14.76,17.424999999999997,76.0,12.998000000000001,4.0,55.0,59.0,Noon
39,2011-01-02,Spring,2011,Jan,15,No,Sun,Holiday,Light rain/snow,13.940000000000001,16.665,81.0,11.0014,19.0,55.0,74.0,Noon
40,2011-01-02,Spring,2011,Jan,16,No,Sun,Holiday,Light rain/snow,13.940000000000001,16.665,71.0,11.0014,9.0,67.0,76.0,Noon
41,2011-01-02,Spring,2011,Jan,17,No,Sun,Holiday,Clear,13.940000000000001,16.665,56.99999999999999,12.998000000000001,7.0,58.0,65.0,Noon
42,2011-01-02,Spring,2011,Jan,18,No,Sun,Holiday,Mist,14.76,16.665,46.0,22.0028,10.0,43.0,53.0,Afternoon
43,2011-01-02,Spring,2011,Jan,19,No,Sun,Holiday,Clear,13.120000000000001,14.395,42.0,30.002599999999997,1.0,29.0,30.0,Afternoon
44,2011-01-02,Spring,2011,Jan,20,No,Sun,Holiday,Clear,12.299999999999999,13.635,39.0,23.9994,5.0,17.0,22.0,Afternoon
45,2011-01-02,Spring,2011,Jan,21,No,Sun,Holiday,Clear,10.66,11.365,44.0,22.0028,11.0,20.0,31.0,Afternoon
46,2011-01-02,Spring,2011,Jan,22,No,Sun,Holiday,Clear,9.84,10.605,44.0,19.999499999999998,0.0,9.0,9.0,Afternoon
47,2011-01-02,Spring,2011,Jan,23,No,Sun,Holiday,Clear,9.02,11.365,47.0,11.0014,0.0,8.0,8.0,Afternoon
48,2011-01-03,Spring,2011,Jan,0,No,Mon,Working Day,Clear,9.02,9.85,44.0,23.9994,0.0,5.0,5.0,Midnight
49,2011-01-03,Spring,2011,Jan,1,No,Mon,Working Day,Clear,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0.0,2.0,2.0,Midnight
50,2011-01-03,Spring,2011,Jan,4,No,Mon,Working Day,Clear,6.5600000000000005,6.819999999999999,47.0,26.0027,0.0,1.0,1.0,Midnight
51,2011-01-03,Spring,2011,Jan,5,No,Mon,Working Day,Clear,6.5600000000000005,6.819999999999999,47.0,19.0012,0.0,3.0,3.0,Midnight
52,2011-01-03,Spring,2011,Jan,6,No,Mon,Working Day,Clear,5.74,5.305,50.0,26.0027,0.0,30.0,30.0,Morning
53,2011-01-03,Spring,2011,Jan,7,No,Mon,Working Day,Clear,5.74,6.819999999999999,50.0,12.998000000000001,1.0,63.0,64.0,Morning
54,2011-01-03,Spring,2011,Jan,8,No,Mon,Working Day,Clear,5.74,6.0600000000000005,50.0,19.0012,1.0,153.0,154.0,Morning
55,2011-01-03,Spring,2011,Jan,9,No,Mon,Working Day,Clear,6.5600000000000005,6.819999999999999,43.0,26.0027,7.0,81.0,88.0,Morning
56,2011-01-03,Spring,2011,Jan,10,No,Mon,Working Day,Clear,7.38,8.334999999999999,43.0,16.997899999999998,11.0,33.0,44.0,Morning
57,2011-01-03,Spring,2011,Jan,11,No,Mon,Working Day,Clear,8.200000000000001,9.09,40.0,22.0028,10.0,41.0,51.0,Morning
58,2011-01-03,Spring,2011,Jan,12,No,Mon,Working Day,Clear,9.02,10.605,35.0,19.999499999999998,13.0,48.0,61.0,Noon
59,2011-01-03,Spring,2011,Jan,13,No,Mon,Working Day,Clear,9.84,10.605,35.0,19.0012,8.0,53.0,61.0,Noon
60,2011-01-03,Spring,2011,Jan,14,No,Mon,Working Day,Clear,10.66,12.120000000000001,30.0,19.0012,11.0,66.0,77.0,Noon
61,2011-01-03,Spring,2011,Jan,15,No,Mon,Working Day,Clear,10.66,12.120000000000001,30.0,16.997899999999998,14.0,58.0,72.0,Noon
62,2011-01-03,Spring,2011,Jan,16,No,Mon,Working Day,Clear,10.66,12.120000000000001,30.0,16.997899999999998,9.0,67.0,76.0,Noon
63,2011-01-03,Spring,2011,Jan,17,No,Mon,Working Day,Clear,9.84,11.365,30.0,15.001299999999999,11.0,146.0,157.0,Noon
64,2011-01-03,Spring,2011,Jan,18,No,Mon,Working Day,Clear,9.84,12.879999999999999,32.0,7.0015,9.0,148.0,157.0,Afternoon
65,2011-01-03,Spring,2011,Jan,19,No,Mon,Working Day,Clear,8.200000000000001,12.879999999999999,47.0,0.0,8.0,102.0,110.0,Afternoon
66,2011-01-03,Spring,2011,Jan,20,No,Mon,Working Day,Clear,8.200000000000001,11.365,47.0,7.0015,3.0,49.0,52.0,Afternoon
67,2011-01-03,Spring,2011,Jan,21,No,Mon,Working Day,Clear,7.38,9.85,64.0,8.9981,3.0,49.0,52.0,Afternoon
68,2011-01-03,Spring,2011,Jan,22,No,Mon,Working Day,Clear,5.74,7.575,69.0,8.9981,0.0,20.0,20.0,Afternoon
69,2011-01-03,Spring,2011,Jan,23,No,Mon,Working Day,Clear,7.38,10.605,55.00000000000001,7.0015,1.0,11.0,12.0,Afternoon
70,2011-01-04,Spring,2011,Jan,0,No,Tue,Working Day,Clear,6.5600000000000005,9.09,55.00000000000001,7.0015,0.0,5.0,5.0,Midnight
71,2011-01-04,Spring,2011,Jan,1,No,Tue,Working Day,Clear,6.5600000000000005,9.09,59.0,7.0015,0.0,2.0,2.0,Midnight
72,2011-01-04,Spring,2011,Jan,2,No,Tue,Working Day,Clear,5.74,7.575,63.0,8.9981,0.0,1.0,1.0,Midnight
73,2011-01-04,Spring,2011,Jan,4,No,Tue,Working Day,Clear,5.74,9.09,63.0,6.0032,0.0,2.0,2.0,Midnight
74,2011-01-04,Spring,2011,Jan,5,No,Tue,Working Day,Clear,4.92,7.575,68.0,7.0015,0.0,4.0,4.0,Midnight
75,2011-01-04,Spring,2011,Jan,6,No,Tue,Working Day,Clear,4.92,7.575,74.0,7.0015,0.0,36.0,36.0,Morning
76,2011-01-04,Spring,2011,Jan,7,No,Tue,Working Day,Clear,4.92,7.575,74.0,8.9981,2.0,92.0,94.0,Morning
77,2011-01-04,Spring,2011,Jan,8,No,Tue,Working Day,Clear,5.74,7.575,69.0,11.0014,2.0,177.0,179.0,Morning
78,2011-01-04,Spring,2011,Jan,9,No,Tue,Working Day,Clear,6.5600000000000005,7.575,64.0,15.001299999999999,2.0,98.0,100.0,Morning
79,2011-01-04,Spring,2011,Jan,10,No,Tue,Working Day,Mist,6.5600000000000005,6.819999999999999,69.0,22.0028,5.0,37.0,42.0,Morning
80,2011-01-04,Spring,2011,Jan,11,No,Tue,Working Day,Clear,9.02,10.605,51.0,19.999499999999998,7.0,50.0,57.0,Morning
81,2011-01-04,Spring,2011,Jan,12,No,Tue,Working Day,Clear,9.02,11.365,51.0,11.0014,12.0,66.0,78.0,Noon
82,2011-01-04,Spring,2011,Jan,13,No,Tue,Working Day,Clear,9.84,11.365,56.00000000000001,12.998000000000001,18.0,79.0,97.0,Noon
83,2011-01-04,Spring,2011,Jan,14,No,Tue,Working Day,Clear,10.66,12.879999999999999,52.0,15.001299999999999,9.0,54.0,63.0,Noon
84,2011-01-04,Spring,2011,Jan,15,No,Tue,Working Day,Clear,11.48,13.635,52.0,16.997899999999998,17.0,48.0,65.0,Noon
85,2011-01-04,Spring,2011,Jan,16,No,Tue,Working Day,Clear,12.299999999999999,14.395,49.0,16.997899999999998,15.0,68.0,83.0,Noon
86,2011-01-04,Spring,2011,Jan,17,No,Tue,Working Day,Clear,11.48,13.635,48.0,15.001299999999999,10.0,202.0,212.0,Noon
87,2011-01-04,Spring,2011,Jan,18,No,Tue,Working Day,Clear,10.66,12.879999999999999,48.0,12.998000000000001,3.0,179.0,182.0,Afternoon
88,2011-01-04,Spring,2011,Jan,19,No,Tue,Working Day,Clear,9.84,12.879999999999999,48.0,7.0015,2.0,110.0,112.0,Afternoon
89,2011-01-04,Spring,2011,Jan,20,No,Tue,Working Day,Clear,9.84,12.879999999999999,48.0,7.0015,1.0,53.0,54.0,Afternoon
90,2011-01-04,Spring,2011,Jan,21,No,Tue,Working Day,Clear,9.02,13.635,64.0,0.0,0.0,48.0,48.0,Afternoon
91,2011-01-04,Spring,2011,Jan,22,No,Tue,Working Day,Clear,9.02,12.879999999999999,64.0,6.0032,1.0,34.0,35.0,Afternoon
92,2011-01-04,Spring,2011,Jan,23,No,Tue,Working Day,Clear,8.200000000000001,11.365,69.0,6.0032,2.0,9.0,11.0,Afternoon
93,2011-01-05,Spring,2011,Jan,0,No,Wed,Working Day,Clear,8.200000000000001,12.879999999999999,64.0,0.0,0.0,6.0,6.0,Midnight
94,2011-01-05,Spring,2011,Jan,1,No,Wed,Working Day,Clear,6.5600000000000005,9.85,74.0,6.0032,0.0,6.0,6.0,Midnight
95,2011-01-05,Spring,2011,Jan,2,No,Wed,Working Day,Clear,6.5600000000000005,9.85,74.0,6.0032,0.0,2.0,2.0,Midnight
96,2011-01-05,Spring,2011,Jan,4,No,Wed,Working Day,Clear,9.84,11.365,48.0,15.001299999999999,0.0,2.0,2.0,Midnight
97,2011-01-05,Spring,2011,Jan,5,No,Wed,Working Day,Clear,9.02,11.365,47.0,11.0014,0.0,3.0,3.0,Midnight
98,2011-01-05,Spring,2011,Jan,6,No,Wed,Working Day,Clear,8.200000000000001,9.85,47.0,15.001299999999999,0.0,33.0,33.0,Morning
99,2011-01-05,Spring,2011,Jan,7,No,Wed,Working Day,Clear,7.38,9.09,43.0,12.998000000000001,1.0,87.0,88.0,Morning
100,2011-01-05,Spring,2011,Jan,8,No,Wed,Working Day,Clear,8.200000000000001,9.09,40.0,19.999499999999998,3.0,192.0,195.0,Morning
101,2011-01-05,Spring,2011,Jan,9,No,Wed,Working Day,Clear,9.02,9.85,37.0,22.0028,6.0,109.0,115.0,Morning
102,2011-01-05,Spring,2011,Jan,10,No,Wed,Working Day,Clear,9.02,9.85,37.0,22.0028,4.0,53.0,57.0,Morning
103,2011-01-05,Spring,2011,Jan,11,No,Wed,Working Day,Clear,10.66,11.365,33.0,22.0028,12.0,34.0,46.0,Morning
104,2011-01-05,Spring,2011,Jan,12,No,Wed,Working Day,Clear,10.66,11.365,33.0,22.0028,5.0,74.0,79.0,Noon
105,2011-01-05,Spring,2011,Jan,13,No,Wed,Working Day,Clear,11.48,12.879999999999999,30.0,19.999499999999998,6.0,65.0,71.0,Noon
106,2011-01-05,Spring,2011,Jan,14,No,Wed,Working Day,Clear,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10.0,52.0,62.0,Noon
107,2011-01-05,Spring,2011,Jan,15,No,Wed,Working Day,Clear,12.299999999999999,14.395,28.000000000000004,12.998000000000001,7.0,55.0,62.0,Noon
108,2011-01-05,Spring,2011,Jan,16,No,Wed,Working Day,Clear,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,4.0,85.0,89.0,Noon
109,2011-01-05,Spring,2011,Jan,17,No,Wed,Working Day,Clear,9.84,11.365,38.0,12.998000000000001,4.0,186.0,190.0,Noon
110,2011-01-05,Spring,2011,Jan,18,No,Wed,Working Day,Clear,9.84,12.120000000000001,38.0,8.9981,3.0,166.0,169.0,Afternoon
111,2011-01-05,Spring,2011,Jan,19,No,Wed,Working Day,Clear,9.84,12.879999999999999,38.0,7.0015,5.0,127.0,132.0,Afternoon
112,2011-01-05,Spring,2011,Jan,20,No,Wed,Working Day,Clear,9.02,11.365,47.0,11.0014,7.0,82.0,89.0,Afternoon
113,2011-01-05,Spring,2011,Jan,21,No,Wed,Working Day,Clear,8.200000000000001,9.85,51.0,12.998000000000001,3.0,40.0,43.0,Afternoon
114,2011-01-05,Spring,2011,Jan,22,No,Wed,Working Day,Clear,7.38,9.85,55.00000000000001,8.9981,1.0,41.0,42.0,Afternoon
115,2011-01-05,Spring,2011,Jan,23,No,Wed,Working Day,Clear,8.200000000000001,12.879999999999999,47.0,0.0,1.0,18.0,19.0,Afternoon
116,2011-01-06,Spring,2011,Jan,0,No,Thu,Working Day,Clear,7.38,12.120000000000001,55.00000000000001,0.0,0.0,11.0,11.0,Midnight
117,2011-01-06,Spring,2011,Jan,1,No,Thu,Working Day,Clear,6.5600000000000005,11.365,64.0,0.0,0.0,4.0,4.0,Midnight
118,2011-01-06,Spring,2011,Jan,2,No,Thu,Working Day,Clear,6.5600000000000005,11.365,64.0,0.0,0.0,2.0,2.0,Midnight
119,2011-01-06,Spring,2011,Jan,4,No,Thu,Working Day,Mist,6.5600000000000005,9.85,64.0,6.0032,0.0,1.0,1.0,Midnight
120,2011-01-06,Spring,2011,Jan,5,No,Thu,Working Day,Mist,5.74,9.09,69.0,6.0032,0.0,4.0,4.0,Midnight
121,2011-01-06,Spring,2011,Jan,6,No,Thu,Working Day,Mist,5.74,8.334999999999999,63.0,7.0015,0.0,36.0,36.0,Morning
122,2011-01-06,Spring,2011,Jan,7,No,Thu,Working Day,Mist,6.5600000000000005,11.365,59.0,0.0,0.0,95.0,95.0,Morning
123,2011-01-06,Spring,2011,Jan,8,No,Thu,Working Day,Clear,6.5600000000000005,11.365,59.0,0.0,3.0,216.0,219.0,Morning
124,2011-01-06,Spring,2011,Jan,9,No,Thu,Working Day,Mist,7.38,12.120000000000001,51.0,0.0,6.0,116.0,122.0,Morning
125,2011-01-06,Spring,2011,Jan,10,No,Thu,Working Day,Clear,8.200000000000001,12.879999999999999,47.0,0.0,3.0,42.0,45.0,Morning
126,2011-01-06,Spring,2011,Jan,11,No,Thu,Working Day,Clear,9.02,12.879999999999999,44.0,6.0032,2.0,57.0,59.0,Morning
127,2011-01-06,Spring,2011,Jan,12,No,Thu,Working Day,Clear,10.66,14.395,35.0,0.0,6.0,78.0,84.0,Noon
128,2011-01-06,Spring,2011,Jan,13,No,Thu,Working Day,Clear,10.66,13.635,35.0,7.0015,12.0,55.0,67.0,Noon
129,2011-01-06,Spring,2011,Jan,14,No,Thu,Working Day,Clear,11.48,13.635,36.0,11.0014,11.0,59.0,70.0,Noon
130,2011-01-06,Spring,2011,Jan,15,No,Thu,Working Day,Clear,11.48,13.635,36.0,0.0,8.0,54.0,62.0,Noon
131,2011-01-06,Spring,2011,Jan,16,No,Thu,Working Day,Clear,10.66,12.879999999999999,38.0,11.0014,12.0,74.0,86.0,Noon
132,2011-01-06,Spring,2011,Jan,17,No,Thu,Working Day,Clear,9.02,11.365,51.0,11.0014,9.0,163.0,172.0,Noon
133,2011-01-06,Spring,2011,Jan,18,No,Thu,Working Day,Clear,9.02,11.365,51.0,8.9981,5.0,158.0,163.0,Afternoon
134,2011-01-06,Spring,2011,Jan,19,No,Thu,Working Day,Clear,9.02,12.879999999999999,55.00000000000001,6.0032,3.0,109.0,112.0,Afternoon
135,2011-01-06,Spring,2011,Jan,20,No,Thu,Working Day,Clear,8.200000000000001,10.605,51.0,11.0014,3.0,66.0,69.0,Afternoon
136,2011-01-06,Spring,2011,Jan,21,No,Thu,Working Day,Mist,9.02,10.605,55.00000000000001,15.001299999999999,0.0,48.0,48.0,Afternoon
137,2011-01-06,Spring,2011,Jan,22,No,Thu,Working Day,Mist,9.02,10.605,51.0,19.0012,1.0,51.0,52.0,Afternoon
138,2011-01-06,Spring,2011,Jan,23,No,Thu,Working Day,Mist,8.200000000000001,9.85,59.0,12.998000000000001,4.0,19.0,23.0,Afternoon
139,2011-01-07,Spring,2011,Jan,0,No,Fri,Working Day,Mist,8.200000000000001,9.85,64.0,12.998000000000001,4.0,13.0,17.0,Midnight
140,2011-01-07,Spring,2011,Jan,1,No,Fri,Working Day,Mist,8.200000000000001,9.85,69.0,15.001299999999999,2.0,5.0,7.0,Midnight
141,2011-01-07,Spring,2011,Jan,2,No,Fri,Working Day,Mist,8.200000000000001,9.85,69.0,15.001299999999999,0.0,1.0,1.0,Midnight
142,2011-01-07,Spring,2011,Jan,4,No,Fri,Working Day,Mist,8.200000000000001,10.605,69.0,8.9981,0.0,1.0,1.0,Midnight
143,2011-01-07,Spring,2011,Jan,5,No,Fri,Working Day,Light rain/snow,9.02,13.635,55.00000000000001,0.0,0.0,5.0,5.0,Midnight
144,2011-01-07,Spring,2011,Jan,6,No,Fri,Working Day,Mist,8.200000000000001,12.879999999999999,69.0,0.0,8.0,26.0,34.0,Morning
145,2011-01-07,Spring,2011,Jan,7,No,Fri,Working Day,Clear,8.200000000000001,10.605,69.0,8.9981,8.0,76.0,84.0,Morning
146,2011-01-07,Spring,2011,Jan,8,No,Fri,Working Day,Clear,8.200000000000001,9.85,51.0,16.997899999999998,20.0,190.0,210.0,Morning
147,2011-01-07,Spring,2011,Jan,9,No,Fri,Working Day,Clear,8.200000000000001,9.09,47.0,19.999499999999998,9.0,125.0,134.0,Morning
148,2011-01-07,Spring,2011,Jan,10,No,Fri,Working Day,Clear,9.02,9.85,37.0,22.0028,16.0,47.0,63.0,Morning
149,2011-01-07,Spring,2011,Jan,11,No,Fri,Working Day,Mist,8.200000000000001,9.85,40.0,15.001299999999999,19.0,48.0,67.0,Morning
150,2011-01-07,Spring,2011,Jan,12,No,Fri,Working Day,Mist,8.200000000000001,9.85,37.0,16.997899999999998,9.0,50.0,59.0,Noon
151,2011-01-07,Spring,2011,Jan,13,No,Fri,Working Day,Mist,8.200000000000001,9.09,37.0,19.0012,9.0,64.0,73.0,Noon
152,2011-01-07,Spring,2011,Jan,14,No,Fri,Working Day,Mist,8.200000000000001,9.85,40.0,16.997899999999998,7.0,43.0,50.0,Noon
153,2011-01-07,Spring,2011,Jan,15,No,Fri,Working Day,Mist,8.200000000000001,10.605,37.0,11.0014,9.0,63.0,72.0,Noon
154,2011-01-07,Spring,2011,Jan,16,No,Fri,Working Day,Mist,8.200000000000001,10.605,37.0,11.0014,5.0,82.0,87.0,Noon
155,2011-01-07,Spring,2011,Jan,17,No,Fri,Working Day,Mist,8.200000000000001,12.879999999999999,37.0,0.0,9.0,178.0,187.0,Noon
156,2011-01-07,Spring,2011,Jan,18,No,Fri,Working Day,Clear,8.200000000000001,11.365,40.0,6.0032,7.0,116.0,123.0,Afternoon
157,2011-01-07,Spring,2011,Jan,19,No,Fri,Working Day,Clear,6.5600000000000005,9.85,55.00000000000001,6.0032,3.0,92.0,95.0,Afternoon
158,2011-01-07,Spring,2011,Jan,20,No,Fri,Working Day,Clear,7.38,10.605,47.0,7.0015,1.0,50.0,51.0,Afternoon
159,2011-01-07,Spring,2011,Jan,21,No,Fri,Working Day,Clear,7.38,9.85,47.0,8.9981,0.0,39.0,39.0,Afternoon
160,2011-01-07,Spring,2011,Jan,22,No,Fri,Working Day,Mist,7.38,9.85,43.0,11.0014,2.0,34.0,36.0,Afternoon
161,2011-01-07,Spring,2011,Jan,23,No,Fri,Working Day,Mist,7.38,9.85,51.0,11.0014,1.0,14.0,15.0,Afternoon
162,2011-01-08,Spring,2011,Jan,0,No,Sat,Holiday,Mist,7.38,9.85,51.0,11.0014,1.0,24.0,25.0,Midnight
163,2011-01-08,Spring,2011,Jan,1,No,Sat,Holiday,Mist,7.38,10.605,55.00000000000001,6.0032,1.0,15.0,16.0,Midnight
164,2011-01-08,Spring,2011,Jan,2,No,Sat,Holiday,Mist,7.38,12.120000000000001,55.00000000000001,0.0,3.0,13.0,16.0,Midnight
165,2011-01-08,Spring,2011,Jan,3,No,Sat,Holiday,Light rain/snow,7.38,9.85,55.00000000000001,11.0014,0.0,7.0,7.0,Midnight
166,2011-01-08,Spring,2011,Jan,4,No,Sat,Holiday,Light rain/snow,7.38,9.85,55.00000000000001,11.0014,0.0,1.0,1.0,Midnight
167,2011-01-08,Spring,2011,Jan,5,No,Sat,Holiday,Mist,6.5600000000000005,8.334999999999999,74.0,11.0014,0.0,5.0,5.0,Midnight
168,2011-01-08,Spring,2011,Jan,6,No,Sat,Holiday,Mist,6.5600000000000005,8.334999999999999,74.0,11.0014,0.0,2.0,2.0,Morning
169,2011-01-08,Spring,2011,Jan,7,No,Sat,Holiday,Mist,6.5600000000000005,9.09,74.0,7.0015,1.0,8.0,9.0,Morning
170,2011-01-08,Spring,2011,Jan,8,No,Sat,Holiday,Light rain/snow,6.5600000000000005,9.09,93.0,7.0015,0.0,15.0,15.0,Morning
171,2011-01-08,Spring,2011,Jan,9,No,Sat,Holiday,Light rain/snow,6.5600000000000005,9.09,93.0,7.0015,0.0,20.0,20.0,Morning
172,2011-01-08,Spring,2011,Jan,10,No,Sat,Holiday,Mist,7.38,9.85,80.0,11.0014,5.0,56.0,61.0,Morning
173,2011-01-08,Spring,2011,Jan,11,No,Sat,Holiday,Mist,8.200000000000001,9.09,69.0,26.0027,2.0,60.0,62.0,Morning
174,2011-01-08,Spring,2011,Jan,12,No,Sat,Holiday,Mist,8.200000000000001,9.09,59.0,23.9994,8.0,90.0,98.0,Noon
175,2011-01-08,Spring,2011,Jan,13,No,Sat,Holiday,Clear,8.200000000000001,9.09,44.0,22.0028,7.0,95.0,102.0,Noon
176,2011-01-08,Spring,2011,Jan,14,No,Sat,Holiday,Clear,8.200000000000001,8.334999999999999,32.0,31.9925,12.0,83.0,95.0,Noon
177,2011-01-08,Spring,2011,Jan,15,No,Sat,Holiday,Clear,8.200000000000001,8.334999999999999,32.0,30.002599999999997,5.0,69.0,74.0,Noon
178,2011-01-08,Spring,2011,Jan,16,No,Sat,Holiday,Clear,7.38,6.819999999999999,28.999999999999996,30.002599999999997,8.0,68.0,76.0,Noon
179,2011-01-08,Spring,2011,Jan,17,No,Sat,Holiday,Clear,6.5600000000000005,6.0600000000000005,37.0,31.9925,5.0,64.0,69.0,Noon
180,2011-01-08,Spring,2011,Jan,18,No,Sat,Holiday,Clear,5.74,6.0600000000000005,39.0,19.999499999999998,3.0,52.0,55.0,Afternoon
181,2011-01-08,Spring,2011,Jan,19,No,Sat,Holiday,Clear,5.74,6.0600000000000005,36.0,16.997899999999998,4.0,26.0,30.0,Afternoon
182,2011-01-08,Spring,2011,Jan,20,No,Sat,Holiday,Clear,4.92,6.0600000000000005,36.0,16.997899999999998,0.0,28.0,28.0,Afternoon
183,2011-01-08,Spring,2011,Jan,21,No,Sat,Holiday,Clear,4.92,5.305,39.0,23.9994,2.0,35.0,37.0,Afternoon
184,2011-01-08,Spring,2011,Jan,22,No,Sat,Holiday,Clear,4.92,5.305,36.0,26.0027,1.0,33.0,34.0,Afternoon
